HDI Rank,Country,2011,2012,2013
171, Afghanistan,35,32,25
85, Albania,1,2,1
83, Algeria,5,5,5
34, Andorra,1,2,5
149, Angola,12,3,9
58, Antigua and Barbuda,1,2,2
40, Argentina,5,6,9
85, Armenia,3,3,3
2, Australia,6,6,6
23, Austria,24,24,24
78, Azerbaijan,8,6,2
55, Bahamas,10,9,8
45, Bahrain,1,1,1
142, Bangladesh,9,7,7
57, Barbados,7,10,10
50, Belarus,1,2,1
21, Belgium,5,4,8
101, Belize,2,4,1
166, Benin,30,30,37
132, Bhutan,5,5,6
119, Bolivia (Plurinational State of),4,4,5
85, Bosnia and Herzegovina,11,6,6
106, Botswana,6,6,6
75, Brazil,1,1,1
31, Brunei Darussalam,9,1,1
59, Bulgaria,5,6,6
183, Burkina Faso,11,13,18
184, Burundi,7,7,2
122, Cabo Verde,4,9,9
143, Cambodia,7,7,10
153, Cameroon,24,18,17
9, Canada,2,2,5
187, Central African Republic,51,51,75
185, Chad,46,36,41
42, Chile,9,10,10
90, China,1,1,1
97, Colombia,12,6,8
159, Comoros,13,15,18
136, Congo,25,35,35
176, Congo (Democratic Republic of the),26,27,27
69, Costa Rica,17,10,9
47, Croatia,4,5,6
67, Cuba,1,1,1
32, Cyprus,13,14,14
28, Czech Republic,2,2,1
172, Cote d'Ivoire,51,26,26
4, Denmark,13,10,11
168, Djibouti,16,17,20
94, Dominica,1,1,7
101, Dominican Republic,21,21,21
88, Ecuador,6,4,3
108, Egypt,4,7,4
116, El Salvador,11,7,6
138, Equatorial Guinea,49,65,58
186, Eritrea,1,2,4
30, Estonia,6,6,6
174, Ethiopia,32,35,38
90, Fiji,6,6,6
24, Finland,3,3,3
22, France,11,11,11
110, Gabon,28,29,30
175, Gambia,9,5,4
76, Georgia,6,7,4
6, Germany,3,3,3
140, Ghana,9,12,11
29, Greece,1,1,1
79, Grenada,5,6,6
128, Guatemala,11,7,15
182, Guinea,38,38,38
178, Guinea-Bissau,31,31,31
124, Guyana,2,1,1
163, Haiti,35,35,35
131, Honduras,5,7,11
44, Hungary,1,1,1
16, Iceland,6,10,9
130, India,26,26,26
110, Indonesia,20,15,16
69, Iran (Islamic Republic of),1,2,2
121, Iraq,23,31,37
6, Ireland,8,8,7
18, Israel,3,3,3
27, Italy,10,10,10
99, Jamaica,12,7,6
20, Japan,6,4,5
80, Jordan,2,2,3
56, Kazakhstan,1,4,1
145, Kenya,13,7,7
137, Kiribati,10,9,9
.., Korea (Democratic People's Rep. of),1,1,1
17, Korea (Republic of),1,1,1
48, Kuwait,1,1,1
120, Kyrgyzstan,3,2,1
141, Lao People's Democratic Republic,31,28,18
46, Latvia,12,10,4
67, Lebanon,21,21,21
161, Lesotho,8,8,8
177, Liberia,29,20,26
94, Libya,2,2,2
37, Lithuania,6,7,7
19, Luxembourg,4,1,5
154, Madagascar,38,39,37
173, Malawi,4,10,12
62, Malaysia,5,5,5
104, Maldives,4,2,1
179, Mali,31,28,28
37, Malta,16,7,1
.., Marshall Islands,12,22,30
156, Mauritania,33,25,20
63, Mauritius,1,1,1
74, Mexico,2,1,11
123, Micronesia (Federated States of),8,9,9
107, Moldova (Republic of),9,9,9
.., Monaco,1,1,1
90, Mongolia,2,1,3
49, Montenegro,9,10,12
126, Morocco,1,1,1
180, Mozambique,18,18,15
148, Myanmar,12,16,14
126, Namibia,26,24,18
.., Nauru,1,4,4
145, Nepal,12,14,12
5, Netherlands,4,4,4
9, New Zealand,7,8,8
125, Nicaragua,1,1,1
188, Niger,31,34,33
152, Nigeria,48,63,41
1, Norway,7,6,7
52, Oman,1,1,1
147, Pakistan,37,39,39
60, Palau,15,9,1
113," Palestine, State of",1,2,1
60, Panama,3,2,8
158, Papua New Guinea,40,33,30
112, Paraguay,7,9,8
84, Peru,4,6,15
115, Philippines,21,15,10
36, Poland,2,2,2
43, Portugal,3,3,2
32, Qatar,2,3,1
52, Romania,7,6,8
50, Russian Federation,2,2,2
163, Rwanda,5,3,3
77, Saint Kitts and Nevis,1,5,1
89, Saint Lucia,9,1,1
97, Saint Vincent and the Grenadines,3,6,1
105, Samoa,33,15,1
.., San Marino,17,13,26
143, Sao Tome and Principe,9,8,9
39, Saudi Arabia,2,2,2
170, Senegal,16,17,16
66, Serbia,7,13,8
64, Seychelles,1,2,3
181, Sierra Leone,17,16,17
11, Singapore,5,5,5
35, Slovakia,2,1,2
25, Slovenia,4,5,6
156, Solomon Islands,27,15,24
.., Somalia,54,54,54
116, South Africa,22,21,34
169, South Sudan,38,48,70
26, Spain,3,3,5
73, Sri Lanka,1,1,1
167, Sudan,13,15,15
103, Suriname,15,27,7
150, Swaziland,13,23,15
14, Sweden,3,3,3
3, Switzerland,7,7,7
134, Syrian Arab Republic,20,39,39
129, Tajikistan,2,6,8
151, Tanzania (United Republic of),7,3,1
93, Thailand,2,2,1
81, The former Yugoslav Republic of Macedonia,3,4,4
133, Timor-Leste,38,27,30
162, Togo,28,28,28
100, Tonga,1,5,1
64, Trinidad and Tobago,8,15,9
96, Tunisia,4,4,6
72, Turkey,2,4,2
109, Turkmenistan,1,1,1
.., Tuvalu,2,2,4
163, Uganda,25,18,18
81, Ukraine,33,21,21
41, United Arab Emirates,6,6,6
14, United Kingdom,10,7,5
8, United States,8,8,9
52, Uruguay,5,4,4
114, Uzbekistan,1,1,3
134, Vanuatu,48,48,48
71, Venezuela (Bolivarian Republic of),14,13,15
116, Viet Nam,4,4,2
160, Yemen,29,29,22
139, Zambia,17,18,20
155, Zimbabwe,8,3,7